iter	Passed	Remaining
0	10	2020
1	18	1811
2	25	1699
3	35	1744
4	43	1693
5	54	1748
6	63	1757
7	78	1888
8	85	1816
9	93	1771
10	101	1737
11	108	1701
12	116	1678
13	124	1651
14	133	1643
15	141	1632
16	147	1590
17	154	1565
18	160	1530
19	167	1504
20	173	1476
21	179	1456
22	185	1430
23	191	1405
24	197	1383
25	203	1361
26	209	1341
27	216	1327
28	223	1318
29	229	1301
30	235	1283
31	241	1266
32	247	1251
33	253	1235
34	258	1220
35	264	1205
36	270	1192
37	280	1196
38	286	1183
39	292	1169
40	298	1159
41	304	1146
42	310	1134
43	317	1126
44	323	1114
45	329	1103
46	335	1092
47	341	1081
48	347	1070
49	353	1059
50	359	1049
51	365	1039
52	370	1028
53	376	1018
54	382	1008
55	390	1002
56	395	992
57	401	983
58	410	981
59	416	971
60	425	968
61	433	965
62	441	960
63	448	953
64	456	948
65	464	942
66	472	937
67	480	932
68	487	924
69	492	915
70	498	906
71	504	897
72	510	888
73	517	881
74	523	872
75	531	867
76	539	862
77	565	884
78	573	878
79	580	870
80	588	864
81	607	874
82	615	867
83	624	862
84	631	854
85	637	845
86	645	838
87	651	829
88	657	820
89	663	811
90	669	802
91	677	794
92	683	786
93	689	777
94	695	768
95	701	760
96	709	753
97	715	744
98	721	736
99	729	729
100	735	720
101	740	711
102	747	704
103	753	695
104	759	687
105	765	678
106	771	670
107	777	662
108	785	655
109	792	648
110	799	641
111	805	632
112	811	624
113	817	616
114	822	608
115	828	600
116	834	592
117	840	583
118	846	576
119	852	568
120	865	564
121	873	558
122	880	551
123	887	544
124	893	536
125	899	528
126	905	520
127	911	512
128	917	504
129	923	497
130	928	489
131	935	481
132	942	474
133	949	467
134	957	460
135	964	454
136	972	447
137	980	440
138	986	433
139	992	425
140	998	417
141	1004	410
142	1010	402
143	1016	395
144	1022	387
145	1028	380
146	1033	372
147	1040	365
148	1046	358
149	1051	350
150	1057	343
151	1063	335
152	1069	328
153	1075	321
154	1080	313
155	1086	306
156	1092	299
157	1098	291
158	1104	284
159	1110	277
160	1115	270
161	1121	263
162	1127	255
163	1133	248
164	1139	241
165	1144	234
166	1150	227
167	1156	220
168	1162	213
169	1168	206
170	1174	199
171	1180	192
172	1186	185
173	1192	178
174	1198	171
175	1203	164
176	1209	157
177	1215	150
178	1221	143
179	1227	136
180	1233	129
181	1238	122
182	1244	115
183	1250	108
184	1256	101
185	1262	94
186	1267	88
187	1274	81
188	1280	74
189	1285	67
190	1291	60
191	1297	54
192	1303	47
193	1309	40
194	1314	33
195	1320	26
196	1326	20
197	1332	13
198	1338	6
199	1343	0
