id,url,header,address,area,rooms,bathrooms,garages,amenities,price,condo,crawler,crawled_at
2513264927,https://www.vivareal.com.br/imovel/apartamento-2-quartos-tijuca-zona-norte-rio-de-janeiro-75m2-aluguel-RS1950-id-2513264927/,"Apartamento com 2 Quartos para Aluguel, 75m²","Rua Henry Ford, 87 - Tijuca, Rio de Janeiro - RJ",75,2 Quartos,2 Banheiros,-- Vaga,"Elevador
Aceita animais
Salão de festas
Portaria 24h
Portão eletrônico",R$ 1.950 /mês,R$ 575,Tijuca,2021-03-24 13:38
2512560879,https://www.vivareal.com.br/imovel/apartamento-1-quartos-tijuca-zona-norte-rio-de-janeiro-45m2-aluguel-RS1280-id-2512560879/,"Apartamento com Quarto para Aluguel, 45m²","Rua Barão de Mesquita, 459 - Tijuca, Rio de Janeiro - RJ",45,1 Quarto,1 Banheiro,-- Vaga,Condomínio fechado,R$ 1.280 /mês,R$ 550,Tijuca,2021-03-24 13:38
2513312606,https://www.vivareal.com.br/imovel/apartamento-1-quartos-tijuca-zona-norte-rio-de-janeiro-30m2-aluguel-RS1200-id-2513312606/,"Apartamento com Quarto para Aluguel, 30m²","Rua Mariz e Barros, 1083 - Tijuca, Rio de Janeiro - RJ",30,1 Quarto,1 Banheiro,-- Vaga,"Condomínio fechado
Aceita animais",R$ 1.200 /mês,R$ 393,Tijuca,2021-03-24 13:38
2513825633,https://www.vivareal.com.br/imovel/apartamento-3-quartos-tijuca-zona-norte-rio-de-janeiro-com-garagem-102m2-aluguel-RS2600-id-2513825633/,"Apartamento com 3 Quartos para Aluguel, 102m²","Rua Mário Barreto, 56 - Tijuca, Rio de Janeiro - RJ",102,3 Quartos,3 Banheiros,1 Vaga,"Ar-condicionado
Elevador
Bicicletário
Portão eletrônico",R$ 2.600 /mês,R$ 715,Tijuca,2021-03-24 13:38
2514077710,https://www.vivareal.com.br/imovel/apartamento-2-quartos-tijuca-zona-norte-rio-de-janeiro-60m2-aluguel-RS1500-id-2514077710/,"Apartamento com 2 Quartos para Aluguel, 60m²","Rua Doutor Satamini, 161 - Tijuca, Rio de Janeiro - RJ",60,2 Quartos,2 Banheiros,-- Vaga,"Elevador
Aceita animais
Acesso para deficientes",R$ 1.500 /mês,R$ 700,Tijuca,2021-03-24 13:38
2507458277,https://www.vivareal.com.br/imovel/apartamento-3-quartos-tijuca-zona-norte-rio-de-janeiro-com-garagem-91m2-aluguel-RS2600-id-2507458277/,"Apartamento com 3 Quartos para Aluguel, 91m²","Rua Araújo Pena, 15 - Tijuca, Rio de Janeiro - RJ",91,3 Quartos,3 Banheiros,1 Vaga,"Ar-condicionado
Elevador
Playground
Aceita animais
Salão de festas",R$ 2.600 /mês,R$ 1.035,Tijuca,2021-03-24 13:38
2511358976,https://www.vivareal.com.br/imovel/apartamento-3-quartos-tijuca-zona-norte-rio-de-janeiro-70m2-aluguel-RS1250-id-2511358976/,"Apartamento com 3 Quartos para Aluguel, 70m²","Rua Conselheiro Zenha, 21 - Tijuca, Rio de Janeiro - RJ",70,3 Quartos,2 Banheiros,-- Vaga,"Churrasqueira
Playground
Aceita animais
Jardim
Bicicletário",R$ 1.250 /mês,R$ 950,Tijuca,2021-03-24 13:38
2513819266,https://www.vivareal.com.br/imovel/apartamento-1-quartos-tijuca-zona-norte-rio-de-janeiro-44m2-aluguel-RS1300-id-2513819266/,"Apartamento com Quarto para Aluguel, 44m²","Rua Haddock Lobo, 409 - Tijuca, Rio de Janeiro - RJ",44,1 Quarto,1 Banheiro,-- Vaga,"Elevador
Portaria 24h",R$ 1.300 /mês,R$ 680,Tijuca,2021-03-24 13:38
2508959108,https://www.vivareal.com.br/imovel/apartamento-3-quartos-tijuca-zona-norte-rio-de-janeiro-115m2-aluguel-RS2200-id-2508959108/,"Apartamento com 3 Quartos para Aluguel, 115m²","Rua Dona Delfina, 02 - Tijuca, Rio de Janeiro - RJ",115,3 Quartos,3 Banheiros,-- Vaga,,R$ 2.200 /mês,R$ 960,Tijuca,2021-03-24 13:38
2508027885,https://www.vivareal.com.br/imovel/apartamento-4-quartos-tijuca-zona-norte-rio-de-janeiro-com-garagem-150m2-aluguel-RS2500-id-2508027885/,"Apartamento com 4 Quartos para Aluguel, 150m²","Rua Guapeni, 53 - Tijuca, Rio de Janeiro - RJ",150,4 Quartos,4 Banheiros,2 Vagas,"Ar-condicionado
Elevador
Condomínio fechado
Playground
Salão de festas",R$ 2.500 /mês,R$ 1.620,Tijuca,2021-03-24 13:38
