id,url,header,address,area,rooms,bathrooms,garages,amenities,price,condo,crawler,crawled_at
2508978496,https://www.vivareal.com.br/imovel/apartamento-1-quartos-cachambi-zona-norte-rio-de-janeiro-54m2-aluguel-RS750-id-2508978496/,"Apartamento com Quarto para Aluguel, 54m²","Rua Capitão Resende, 370 - Cachambi, Rio de Janeiro - RJ",54,1 Quarto,1 Banheiro,-- Vaga,"Elevador
Playground
Aceita animais
Salão de festas
Portaria 24h",R$ 750 /mês,R$ 610,Cachambi,2021-04-04 14:28
2513277508,https://www.vivareal.com.br/imovel/apartamento-2-quartos-cachambi-zona-norte-rio-de-janeiro-com-garagem-61m2-aluguel-RS800-id-2513277508/,"Apartamento com 2 Quartos para Aluguel, 61m²","Rua São Joaquim - Cachambi, Rio de Janeiro - RJ",61,2 Quartos,2 Banheiros,1 Vaga,"Piscina
Varanda
Academia
Elevador
Playground",R$ 800 /mês,R$ 750,Cachambi,2021-04-04 14:28
2502789379,https://www.vivareal.com.br/imovel/apartamento-2-quartos-cachambi-zona-norte-rio-de-janeiro-com-garagem-68m2-aluguel-RS1800-id-2502789379/,"Apartamento com 2 Quartos para Aluguel, 68m²","Cachambi, Rio de Janeiro - RJ",68,2 Quartos,2 Banheiros,1 Vaga,"Varanda
Academia
Interfone
Salão de jogos
Sauna",R$ 1.800 /mês,R$ 585,Cachambi,2021-04-04 14:29
2513224981,https://www.vivareal.com.br/imovel/apartamento-2-quartos-cachambi-zona-norte-rio-de-janeiro-com-garagem-50m2-aluguel-RS1200-id-2513224981/,"Apartamento com 2 Quartos para Aluguel, 50m²","Rua Álvares Cabral, 425 - Cachambi, Rio de Janeiro - RJ",50,2 Quartos,1 Banheiro,1 Vaga,"Churrasqueira
Elevador
Condomínio fechado
Playground
Aceita animais",R$ 1.200 /mês,R$ 550,Cachambi,2021-04-04 14:29
2510049691,https://www.vivareal.com.br/imovel/apartamento-3-quartos-cachambi-zona-norte-rio-de-janeiro-com-garagem-90m2-venda-RS530000-id-2510049691/,Apartamento com 3 Quartos à Venda/Aluguel 90m²,"Rua Silva Mourão, 107 - Cachambi, Rio de Janeiro - RJ",90,3 Quartos,2 Banheiros,1 Vaga,"Piscina
Churrasqueira
Elevador
Academia
Varanda gourmet",R$ 2.300 /mês,R$ 763,Cachambi,2021-04-04 14:29
2512659533,https://www.vivareal.com.br/imovel/apartamento-2-quartos-cachambi-zona-norte-rio-de-janeiro-com-garagem-71m2-venda-RS490000-id-2512659533/,Apartamento com 2 Quartos à Venda/Aluguel 71m²,"Rua Silva Mourão, 107 - Cachambi, Rio de Janeiro - RJ",71,2 Quartos,2 Banheiros,1 Vaga,"Piscina
Churrasqueira
Elevador
Academia
Varanda gourmet",R$ 2.000 /mês,R$ 680,Cachambi,2021-04-04 14:29
2502010704,https://www.vivareal.com.br/imovel/apartamento-3-quartos-cachambi-zona-norte-rio-de-janeiro-com-garagem-110m2-aluguel-RS1100-id-2502010704/,"Apartamento com 3 Quartos para Aluguel, 110m²","Rua Rocha Pita - Cachambi, Rio de Janeiro - RJ",110,3 Quartos,2 Banheiros,1 Vaga,"Varanda
Armário na cozinha
Interfone",R$ 1.100 /mês,R$ 400,Cachambi,2021-04-04 14:29
2502789378,https://www.vivareal.com.br/imovel/apartamento-2-quartos-cachambi-zona-norte-rio-de-janeiro-com-garagem-68m2-aluguel-RS2000-id-2502789378/,"Apartamento com 2 Quartos para Aluguel, 68m²","Cachambi, Rio de Janeiro - RJ",68,2 Quartos,2 Banheiros,1 Vaga,"Piscina
Varanda
Academia
Quadra poliesportiva
Interfone",R$ 2.000 /mês,R$ 735,Cachambi,2021-04-04 14:29
2513586436,https://www.vivareal.com.br/imovel/apartamento-1-quartos-cachambi-zona-norte-rio-de-janeiro-com-garagem-45m2-aluguel-RS1500-id-2513586436/,"Apartamento com Quarto para Aluguel, 45m²","Rua Odorico Mendes, 43 - Cachambi, Rio de Janeiro - RJ",45,1 Quarto,1 Banheiro,1 Vaga,"Piscina
Churrasqueira
Elevador
Condomínio fechado
Quadra poliesportiva",R$ 1.500 /mês,R$ 480,Cachambi,2021-04-04 14:29
2514187093,https://www.vivareal.com.br/imovel/apartamento-2-quartos-cachambi-zona-norte-rio-de-janeiro-92m2-aluguel-RS1600-id-2514187093/,"Apartamento com 2 Quartos para Aluguel, 92m²","Rua Cristiania - Cachambi, Rio de Janeiro - RJ",92,2 Quartos,1 Banheiro,-- Vaga,"Varanda
Ar-condicionado
Elevador
Área de serviço
Salão de festas",R$ 1.600 /mês,R$ 500,Cachambi,2021-04-04 14:29
